;tid;sent;pol
351;1455234936319905794;positive;deny
352;1067661352901197825;negative;believe
353;1475047597152821248;negative;deny
354;983505844435169280;negative;believe
355;1119020121996103682;positive;believe
356;1431935514102337536;negative;believe
357;1455141580755673088;negative;believe
358;968894936085966848;neutral;believe
359;1497196664058224664;negative;deny
360;1424540430256025601;negative;deny
361;1033031459055972353;neutral;believe
362;1424744064608620553;negative;deny
363;947020659003047936;positive;believe
364;1424800885092327429;positive;believe
365;1031924139940933634;neutral;believe
366;1034827599946498050;positive;believe
367;1068881367075835904;positive;believe
368;1428223019755794435;neutral;believe
369;951505784977977345;neutral;believe
370;1432164144980152325;negative;believe
371;1030058181274288128;positive;believe
372;1428926651497287684;negative;believe
373;1441375964043169801;positive;believe
374;1454887331421294595;neutral;believe
375;1431790467327401985;positive;believe
376;1457072666393731072;negative;believe
377;983903734513258496;negative;believe
378;1068416315562446848;negative;believe
379;1453893064905289731;neutral;believe
380;1425767322158080000;negative;deny
381;1438285700437315586;positive;believe
382;983942323582124037;positive;believe
383;626960494578892800;neutral;believe
384;1069093504201019397;neutral;believe
385;826143155888148480;positive;believe
386;911850133939040256;positive;believe
387;726108905407803392;neutral;believe
388;1487420527543296007;positive;deny
389;1456744641664098313;negative;believe
390;1459422800544866305;positive;believe
391;1480200120947798016;negative;deny
392;1069338577971159040;positive;believe
393;1456659348822769665;positive;believe
394;1458585151148023809;negative;deny
395;1440105411382763520;negative;believe
396;1118554271945859072;negative;believe
397;1034212920215855104;positive;believe
398;1459713428013023233;negative;believe
399;1453582402572279810;neutral;believe
400;1451416501471223813;neutral;deny
401;1031934603941036034;neutral;believe
402;985944820870008832;positive;believe
403;1455321506087673861;neutral;believe
404;1067606321917177856;positive;believe
405;1119522278335586305;negative;believe
406;825277626491273216;positive;believe
407;1446057688941596674;positive;believe
408;1457314096588763141;neutral;deny
409;1451939236031127557;negative;deny
410;1457229587834814464;positive;believe
411;1455829027210633217;negative;believe
412;1503939107398975493;negative;deny
413;1439637474842759168;negative;believe
414;596337471232684032;neutral;believe
415;990618263502536704;positive;believe
416;1431202453614125058;negative;believe
417;824018054468268032;neutral;believe
418;1069342449397465088;positive;believe
419;1456273832604434442;neutral;believe
420;1456384177654337539;negative;deny
421;989000317239836672;positive;believe
422;1424854660607787011;negative;deny
423;1118831765722808320;neutral;believe
424;1423647921631793156;neutral;believe
425;989510483265892352;positive;believe
426;941501602627588096;negative;believe
427;1445956564746129410;negative;believe
428;1438972820218912771;neutral;believe
429;1067937822609498112;neutral;believe
430;1430178269949829131;neutral;believe
431;1457526201904349191;neutral;believe
432;1425424220037726220;negative;believe
433;1118903912440967175;positive;believe
434;984501082507415553;negative;believe
435;824287627998363648;positive;believe
436;1118981539398701056;negative;believe
437;953133129727991813;negative;believe
438;1434621679225950213;neutral;deny
439;1458729276279345155;positive;believe
440;1467493760737099776;neutral;deny
441;1456237291320524801;neutral;believe
442;1451907157453062150;positive;believe
443;1455546462033649673;negative;believe
444;622409489988325376;neutral;believe
445;985642843929640960;positive;believe
446;1424798007590068230;neutral;believe
447;1451227400931397638;negative;believe
448;946800040055422976;neutral;believe
449;1424934625562955777;positive;believe
450;952079689840959488;positive;believe
451;1069570837999538176;neutral;believe
452;1031883770209742848;positive;believe
453;1424540858108420099;positive;believe
454;987941374375874560;positive;believe
455;1118791234007572480;negative;believe
456;1455282449445900289;negative;believe
457;1453347133856251910;negative;deny
458;988416686947696642;neutral;believe
459;986230018060648448;negative;believe
460;1035888618118766592;positive;believe
461;1067483922102190080;negative;believe
462;982300280367624192;positive;believe
463;1440223549407383557;negative;deny
464;1456709764310765573;neutral;believe
465;1456692422801506306;negative;believe
466;990321007251484672;positive;believe
467;1459605239712169991;neutral;believe
468;941193070934089728;positive;believe
469;906496229017653248;negative;believe
470;1067989344336650240;neutral;believe
471;1456793678660390916;negative;believe
472;1426042364653494274;neutral;believe
473;730768295918329856;negative;deny
474;1068953158376800256;positive;believe
475;929427991859306496;positive;believe
476;1446183255070281740;positive;believe
477;622321915584118784;positive;believe
478;705751266417369088;positive;believe
479;825471909466869760;positive;believe
480;986175197572190208;negative;believe
481;1067652999353266176;neutral;believe
482;1452297802969718792;neutral;believe
483;1433114613663555585;positive;believe
484;1455061612717645825;neutral;deny
485;986114003553476608;neutral;believe
486;1457723180865425408;positive;believe
487;1035034384636755968;positive;believe
488;1035122623615852545;neutral;believe
489;627913446105878528;neutral;believe
490;989132342714253314;positive;believe
491;1067580164660477953;negative;believe
492;1454412098700816384;negative;deny
493;1425072886948184065;positive;believe
494;1453375168873644032;negative;deny
495;953687122925334528;neutral;believe
496;1454390052772098048;negative;believe
497;1445155066751619094;positive;deny
498;1447087515014508544;neutral;believe
499;1423288725316898817;negative;believe
500;1030679286942982145;positive;believe
501;961691269549436928;neutral;believe
502;1426026823943557124;negative;believe
503;1460279013616746505;neutral;believe
504;1460974275393998852;negative;deny
505;1444011479414542355;negative;believe
506;1424830779864059913;positive;believe
507;1422473730207281155;neutral;believe
508;1425750025494269952;positive;believe
509;1029128615588331520;negative;believe
510;1453969521115480064;positive;believe
511;1425915217775575042;neutral;believe
512;1425598877588094978;neutral;deny
513;1425996285996306438;negative;believe
514;1421135039212015620;negative;believe
515;988111077924900866;neutral;believe
516;1446069885902245888;negative;deny
517;1455362639861673995;neutral;believe
518;951324304087683072;neutral;believe
519;1421413269311418368;negative;believe
520;920863635047563264;negative;believe
521;1067449933681315840;negative;believe
522;988054314072539136;positive;believe
523;1456141965519642627;neutral;believe
524;1427542228738715665;negative;believe
525;913218016380280832;positive;believe
526;1437796517763485702;positive;believe
527;1458501107798450177;negative;believe
528;1467629669549809666;negative;deny
529;875696971264249856;positive;believe
530;859981118367424512;positive;believe
531;1456983637891555332;neutral;believe
532;1455607867084398596;negative;deny
533;1119929250302308352;positive;believe
534;951497497540726785;neutral;believe
535;983085216351715329;negative;believe
536;831172127541907456;positive;believe
537;939696011362136064;negative;believe
538;953617800672591872;positive;believe
539;1432384983830646785;negative;believe
540;737260665254088704;positive;believe
541;984858615319117824;neutral;believe
542;1033073020351307776;neutral;believe
543;1423968738496458752;neutral;believe
544;1434298419128930305;negative;believe
545;1441567825924026377;positive;believe
546;824021795715985408;negative;believe
547;1421148904884682756;negative;believe
548;1434576707244236801;negative;deny
549;824658331436457984;negative;believe
550;1461391804650209284;neutral;believe
551;1470112474900930566;negative;deny
552;985335584028839936;neutral;believe
553;1420815838731407364;neutral;believe
554;1426144267492380675;neutral;believe
555;1456743498418466816;positive;believe
556;952610791714377729;negative;believe
557;1457434301574811653;neutral;believe
558;824457937125052416;positive;believe
559;1119939337695547392;neutral;believe
560;1425727023868170240;negative;believe
561;1441043932268228609;neutral;believe
562;1470464694842503175;positive;deny
563;1030512766438658050;negative;believe
564;945917459202154496;positive;believe
565;625768660993347584;negative;believe
566;1425577988599472129;negative;believe
567;623276987776409600;positive;believe
568;1429346170518843394;neutral;believe
569;951572056671309825;neutral;believe
570;1453332002422263811;positive;believe
571;1118998618818711552;neutral;believe
572;988220138141995010;positive;believe
573;1456903412096790534;positive;believe
574;1420372575725752323;negative;believe
575;1454010146053578753;negative;believe
576;1436269612992192515;negative;believe
577;1119479550323372032;positive;believe
578;1426224583686991873;negative;believe
579;1425375939559624705;neutral;deny
580;1423288442893443081;negative;deny
581;1424797445377064960;negative;believe
582;871029212265795584;neutral;believe
583;1437131936607182854;positive;believe
584;1032564861664866304;positive;believe
585;1455595029880262656;neutral;believe
586;1432151748391489536;negative;believe
587;1444086926840057861;positive;believe
588;1456971970587906054;positive;believe
589;1430377494306181129;negative;believe
590;1491116398646468610;negative;deny
591;1030577594549366784;positive;believe
592;1458460608223981584;negative;believe
593;1456659962441068548;negative;believe
594;1429025308754198535;negative;deny
595;1420730132738740224;positive;believe
596;950796296876691456;neutral;believe
597;1445375133607243781;positive;believe
598;987082832983019521;negative;believe
599;1031479451064758273;positive;believe
600;935010229049163776;positive;believe
601;984319917766905856;neutral;believe
602;825175013221421056;neutral;believe
603;1429473931602300928;negative;deny
604;1446427225998467077;positive;deny
605;1459623393259491329;positive;deny
606;1426672581835427843;negative;deny
607;1118932380742328321;positive;believe
608;986243694704644096;positive;believe
609;1454077077150388257;neutral;deny
610;1437861775949631488;positive;deny
611;1457452126284640256;positive;believe
612;1455952623543193611;negative;believe
613;1452366181520740352;neutral;believe
614;1455226514480447534;negative;deny
615;1459386802687545344;positive;believe
616;824968862521102336;positive;believe
617;1450655897106075656;negative;deny
618;1422074634615365635;positive;believe
619;439101546710577152;negative;deny
620;1455948534402797570;negative;believe
621;989331719042969600;positive;believe
622;1458794938775355392;neutral;believe
623;1459547749767004164;neutral;believe
624;985245723682902016;neutral;believe
625;906933578801360896;positive;believe
626;1456961129071235074;positive;believe
627;1453279814639570951;negative;deny
628;1424804166556336131;negative;believe
629;1429474523070537732;neutral;deny
630;952189913918828546;positive;believe
631;1451235255965274144;positive;believe
632;989502387193704448;negative;believe
633;1034507902734794752;neutral;believe
634;1461367860371075072;negative;believe
635;1424784231360720898;negative;believe
636;1453368588371382274;negative;believe
637;1455100113983004672;negative;deny
638;982301078405505024;neutral;believe
639;981438639749193728;negative;believe
640;986985320838238208;neutral;believe
641;1445361791425470464;negative;believe
642;1067735242189012993;positive;believe
643;955288716200652800;positive;believe
644;1457857484119592966;negative;believe
645;1067580925771464704;negative;believe
646;1459170483795079168;neutral;believe
647;1435449589398573063;negative;believe
648;791085849098215424;negative;believe
649;989887289957502976;neutral;believe
650;983043551348051969;positive;believe
651;939526380303388672;positive;believe
652;1441351336885293058;negative;believe
653;1069696920262795270;negative;believe
654;986601425525510144;positive;believe
655;941083309060243456;positive;believe
656;1421488531256532993;positive;believe
657;928880126577688576;positive;believe
658;1035656953379213313;negative;believe
659;982362266292146176;positive;believe
660;1458145485303201803;positive;believe
661;922714843248975872;positive;believe
662;639046573343830016;positive;believe
663;1031906970826170368;neutral;believe
664;1453307751061409809;neutral;believe
665;946626896044769280;positive;believe
666;1456897094904545280;positive;believe
667;1454085590144753672;positive;believe
668;1032664181487677441;negative;believe
669;1441477713785655297;positive;believe
670;1457842366543540224;positive;believe
671;1435708093745156098;neutral;deny
672;1455229746858455047;negative;deny
673;1485399620658208768;negative;deny
674;1458932615298359301;neutral;believe
675;1032533921852874752;negative;believe
676;1421674001613529088;neutral;believe
677;1438276025209733122;positive;believe
678;1453741833486573568;neutral;believe
679;1035542310115848192;negative;believe
680;737236137094221824;positive;believe
681;986831489441542145;positive;believe
682;1457054040827772931;positive;believe
683;1433762697116540951;positive;believe
684;1068713617804058624;negative;believe
685;1456909120397668359;positive;believe
686;1433461700775272453;positive;believe
687;984594300418670592;negative;believe
688;1118886053396353025;negative;believe
689;1432224634896666625;positive;believe
690;1455947718069682180;positive;believe
691;984268462166966278;negative;believe
692;984638641690501122;positive;believe
693;910522125584175104;negative;deny
694;1119823687925030913;neutral;believe
695;1429084284141330432;neutral;believe
696;1435281913191669762;neutral;believe
697;921167619780100096;negative;believe
698;1461022709295497223;negative;deny
699;878181096311140352;negative;believe
700;1423523706807140354;negative;believe
701;1460306094618779655;negative;deny
702;940024612385165312;negative;believe
703;1068351658671824896;negative;believe
704;1442040503701319682;negative;deny
705;987504946772766720;negative;believe
706;1434656390858092550;negative;believe
707;613814830542131200;positive;believe
708;1423706510287204352;neutral;believe
709;1029688215026974720;positive;believe
710;1425472967027404801;negative;believe
711;1455137086806413312;negative;believe
712;1067797033745031168;neutral;believe
713;937570284978159616;positive;believe
714;982681220256542722;positive;believe
715;986064219312357376;negative;believe
716;1421607740565192705;positive;believe
717;1457038470669553668;positive;believe
718;954158651001982982;neutral;believe
719;1456370909573386244;negative;deny
720;1436082614947901460;positive;believe
721;1030428102139232258;negative;believe
722;1424799415181713414;negative;believe
723;1441070269301358597;negative;believe
724;983617701347119106;negative;believe
725;951310945896165376;positive;believe
726;1440393672114069509;positive;believe
727;943376049169039360;negative;believe
728;1455098925652889601;neutral;believe
729;983699451473776640;neutral;believe
730;1441399814906916864;positive;believe
731;1460061609842429956;negative;believe
732;952616020799234048;neutral;believe
733;1069250589303951361;negative;believe
734;1455112443080892422;negative;believe
735;983505188546789377;negative;believe
736;1424998466485309441;neutral;deny
737;947006653840359424;positive;believe
738;1454075004648247299;negative;deny
739;466191205890420736;negative;deny
740;1428790619879653379;neutral;believe
741;1422626839013429250;negative;believe
742;981479570959290374;negative;believe
743;870936721684180992;neutral;believe
744;1461531336703983616;neutral;believe
745;1430542673945976840;negative;deny
746;1034192971841732608;neutral;believe
747;946541253746835456;positive;believe
748;1029723846050557952;negative;believe
749;1425143751475879938;negative;believe
750;991425612215672832;neutral;believe
751;940860691896066048;positive;believe
752;1422472917674123265;positive;believe
753;1499563926756859907;negative;deny
754;1434892896059133954;negative;believe
755;1425062718646611979;neutral;believe
756;991349404975206403;positive;believe
757;1425065571872387078;neutral;deny
758;1118992066514685952;positive;believe
759;1424003279315300352;neutral;believe
760;1030620963598032896;positive;believe
761;981180447387471873;neutral;believe
762;1423628724134576128;neutral;believe
763;1450009273027555329;neutral;believe
764;1458066853264347146;positive;believe
765;1460846854824816641;neutral;believe
766;1458299545738117128;neutral;believe
767;1436161315396009988;negative;deny
768;1452240681104297999;neutral;believe
769;1068124161644658688;neutral;believe
770;1067778069073747969;negative;deny
771;872878521756127232;positive;believe
772;1425586424271753222;negative;believe
773;1456995494039801856;neutral;believe
774;1432012060066566145;neutral;believe
775;1451584352106815514;positive;deny
776;1031851701538455553;positive;believe
777;1427712216267120640;neutral;believe
778;1029219152077119488;negative;believe
779;1457888402536206336;neutral;believe
780;953886229950447616;positive;believe
781;1433843982904160259;neutral;believe
782;1454822475209060353;neutral;believe
783;1440951260237139968;positive;deny
784;969567519429177344;negative;believe
785;991014252596158465;neutral;believe
786;1445420003050889225;positive;believe
787;1119760188444225537;neutral;believe
788;953148213363527680;positive;believe
789;1455594653156261888;neutral;deny
790;1457276073876525056;positive;believe
791;1456284809777532928;neutral;deny
792;982258339168923648;negative;believe
793;1429802608617738245;negative;believe
794;946626652112486400;positive;believe
795;1421045127372591107;negative;deny
796;1068192838351867904;positive;believe
797;1467868672396042245;negative;deny
798;1430643714226012166;positive;deny
799;1452910456373403652;neutral;believe
800;944206671739572224;positive;believe
801;982952775217754112;positive;believe
802;988010211960123392;neutral;believe
803;987489884217622529;positive;believe
804;1454067594202255362;positive;believe
805;1455572847422754816;negative;deny
806;1433638511433879553;positive;believe
807;919775154342854656;positive;believe
808;946562822980300800;negative;believe
809;1032754492993884160;positive;believe
810;851244246774370304;positive;believe
811;1424780278418055168;negative;believe
812;1440365716071354376;negative;believe
813;1422186967601750019;neutral;deny
814;1069712419369480193;neutral;believe
815;920465669220532224;positive;believe
816;1455789866889793543;neutral;believe
817;1030079525009403904;positive;believe
818;681506711249752064;neutral;believe
819;1458067677549899779;positive;believe
820;1423789431820062720;negative;believe
821;1432120365065531392;negative;deny
822;1420382217528745989;negative;believe
823;1423568564456468483;positive;believe
824;1455108158997794817;positive;believe
825;1068950055728570368;negative;believe
826;981974255159205889;positive;believe
827;1456630950314524672;negative;believe
828;1454771907128184832;positive;deny
829;907709017082007552;neutral;believe
830;1031975806459772928;negative;believe
831;939028825307885568;positive;believe
832;1458883460626530309;negative;believe
833;1445770443915362308;neutral;believe
834;629126250670362624;negative;believe
835;1118988738418311168;neutral;believe
836;1433488224387796993;neutral;believe
837;1461148818863312902;negative;believe
838;1457040965437431815;negative;deny
839;1457011819864789001;neutral;believe
840;1435626487718166533;negative;believe
841;990348457155088384;negative;believe
842;984978477190295552;positive;believe
843;1473319696124493825;positive;deny
844;1487231113638653955;positive;deny
845;951648829832597504;positive;believe
846;870873966461808640;neutral;believe
847;626323855238369280;neutral;believe
848;986051871092621312;positive;believe
849;1029191274706944001;positive;believe
850;595999581864787968;positive;believe
851;1457072571464175621;neutral;believe
852;1067339001323896832;positive;believe
853;1069635461537308672;neutral;believe
854;981925768619061248;negative;believe
855;1031564298563321857;neutral;believe
856;1442867872728903691;neutral;believe
857;989568269425115136;neutral;believe
858;1460557612278296582;negative;believe
859;987320343655256068;negative;believe
860;1424645398552059915;neutral;believe
861;1470752204906655744;negative;deny
862;1118559888852967424;negative;believe
863;1450216152756543489;positive;believe
864;1029413225207484416;neutral;believe
865;1421514973604458496;negative;deny
866;989903248281645057;positive;believe
867;1431237831536660483;positive;believe
868;1451272576500654088;positive;believe
869;674895917342965760;positive;believe
870;1029389807951269888;negative;believe
871;907919687215960064;neutral;believe
872;1444387351996813321;neutral;deny
873;1454118721937543169;neutral;believe
